1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,
 0003-0003-0003,A,OPT KOREAN GDL                                    ,OPT KOREAN    , ,           ,         ,19-sep-13, ,              ,              ,              ,                                                  ,GUADALAJARA                                       ,         ,MX,GDL                 ,     ,                         ,                       ,              ,                                                  ,                                                  ,              ,              ,ILN,DESCRIPTIVE,USD,   ,0,0,   ,0003-0003-0003,              , 
 001-AM        ,D,AMERICAN AIRLINES INC                             ,              , ,           ,         ,13-nov-96, ,              ,              ,              ,                                                  ,4333 AMON CARTER BLVD MD 5338                     ,76155,US,DALLAS              ,TX   ,                         ,DPTO INTERLINEAL       ,              ,                                                  ,                                                  ,              ,D/16175 17653 ,AMI,DESCRIPTIVE,USD,ENG,5,0,30,1102-9001-0000,              , 
 001-MX        ,D,AMERICAN AIRLINES INC.                            ,              , ,           ,         ,15-nov-96, ,              ,              ,              ,                                                  ,4333 AMON CARTER BLVD MD 5338                     ,76155,US,DALLAS              ,TX   ,                         ,DEPARTAMENTO INTLN     ,              ,                                                  ,                                                  ,              ,              ,MXI,DESCRIPTIVE,USD,ENG,5,0,30,1102-9005-0000,              , 
 001-QO        ,D,AMERICAN AIRLINES INC.                            ,              ,B,           ,         ,18-nov-96, ,              ,              ,              ,                                                  ,4333 AMON CARTER BLVD MD 5338                     ,76155,US,DALLAS              ,TX   ,                         ,DEPTO INTERLINEAL      ,              ,                                                  ,                                                  ,              ,              ,QOI,DESCRIPTIVE,USD,ENG,5,0,30,1102-9009-0000,              , 
 001MID        ,A,MIRIAM PERAZA RIVERO                              ,              ,D,           ,         ,13-mar-03, ,              ,              ,              ,                                                  ,CALLE 86 N.476-E AV.IZAES                         ,         ,MX,MERIDA              ,MID  ,                         ,MIRIAM PERAZA          ,9205364,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,30,001MID        ,              , 
 001TIJ        ,A,GLOBAL PARTNER LOGISTIC                           ,              ,D,           ,         ,13-mar-03, ,              ,              ,              ,                                                  ,TIJUANA                                           ,         ,MX,TIJUANA             ,TIJ  ,                         ,                       ,              ,                                                  ,                                                  ,              ,              ,EMX,DESCRIPTIVE,MXN,   ,0,0,30,001TIJ        ,              , 
 005-AM        ,D,CONTINENTAL AIRLINES CO.                          ,              , ,           ,         ,13-nov-96, ,              ,              ,              ,                                                  ,2777 ALLEN PARKWAY                                ,77019,US,HOUSTON             ,TX   ,                         ,CARGO REVENUE ACCT     ,              ,                                                  ,                                                  ,              ,D/16175 17653 ,AMI,DESCRIPTIVE,USD,ENG,0,0,30,1102-9001-0000,              , 
 005-MX        ,D,CONTINENTAL AIRLINES                              ,              , ,           ,         ,15-nov-96, ,              ,              ,              ,                                                  ,2777 ALLEN PARKWAY                                ,77019,US,HOUSTON             ,TX   ,                         ,CARGO REVENUE ACCT.    ,              ,                                                  ,                                                  ,              ,              ,MXI,DESCRIPTIVE,USD,ENG,0,0,30,1102-9005-0000,              , 
 005-QO        ,D,CONTINENTAL AIRLINES                              ,              ,B,           ,         ,18-nov-96, ,              ,              ,              ,                                                  ,2777 ALLEN PARKWAY                                ,77019,US,HOUSTON             ,TX   ,                         ,CARGO REVENUE ACCT     ,              ,                                                  ,                                                  ,              ,              ,QOI,DESCRIPTIVE,USD,ENG,0,0,30,1102-9009-0000,              , 
 006-AM        ,D,"DELTA AIRLINES, INC.                              ",              , ,           ,         ,13-nov-96, ,              ,              ,              ,                                                  ,1030 DELTA BLVD DEPT 666 H AIRPT                  ,30320,US,ATLANTA             ,GA   ,                         ,CARGO REVENUE ACCT     ,              ,                                                  ,                                                  ,              ,D/16175 17653 ,AMI,DESCRIPTIVE,USD,ENG,5,0,30,1102-9001-0000,              , 
 006-MX        ,D,"DELTA IARLINES, INC.                              ",              , ,           ,         ,15-nov-96, ,              ,              ,              ,                                                  ,1030 DELTA BLVD DEPT 666 H APTO                   ,30320,US,ATLANTA             ,GA   ,                         ,CARGO REVENUE ACCT     ,              ,                                                  ,                                                  ,              ,              ,MXI,DESCRIPTIVE,USD,ENG,5,0,30,1102-9005-0000,              , 
 006-QO        ,D,"DELTA AIRLINES, INC                               ",              ,B,           ,         ,18-nov-96, ,              ,              ,              ,                                                  ,1030DELTA BLVD DEPT666HART APTO.                  ,30320,US,ATLANTA             ,GE   ,                         ,CARGO REVENUE ACCT     ,              ,                                                  ,                                                  ,              ,              ,QOI,DESCRIPTIVE,USD,ENG,5,0,30,1102-9009-0000,              , 
1100010015,C,DBA DISTRIBUTION SERVICES INC.                    ,              , ,1100010015,         ,14-mar-00, ,              ,              ,              ,                                                  ,701 COTTONTAIL LANE                               ,8873,US,SOMERSET            ,NJ   ,                         ,DAWN-ACCT PAYABLS      ,732-560-9030  ,                                                  ,                                                  ,              ,              ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-3275,              , 
1100010026,C,DBA DISTRIBUTION SERVICES INC.                    ,              ,B,1100010026,         ,06-nov-02, ,              ,              ,              ,                                                  ,1472 ELMHURST RD                                  ,60007,US,ELK GROVE VILLAGE   ,IL   ,                         ,                       ,888-420-8376  ,                                                  ,                                                  ,              ,              ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-3275,              , 
1100010041,C,DBA DISTRIBUTION SERVICES INC.                    ,              , ,1100010041,         ,03 JAN 2007, ,              ,              ,              ,                                                  ,760 ATLANTA SOUTH PKWY STE 300                    ,30349,US,ATLANTA             ,GA   ,                         ,                       ,866-991-2975  ,                                                  ,                                                  ,              ,              ,CUS,CASS       ,USD,ENG,0,0,   ,1102-1231-3275,              , 
1100010063,C,DBA DISTIBUTION SERVICES INC.                     ,              ,B,1100010063,         ,21-may-10, ,              ,              ,              ,                                                  ,280 SW 33RD ST.                                   ,33312,US,FT. LAUDERDALE      ,FL   ,                         ,                       ,954-763-8273  ,                                                  ,                                                  ,              ,              ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-3275,              , 
1100040012,C,ALEX NICHOLS AGENCY INC.                          ,              , ,1100040012,         ,27-jul-07, ,              ,              ,              ,                                                  ,380 HAMPTON RD                                    ,11572,US,OCEANSIDE           ,NY   ,                         ,                       ,516-678-9100  ,                                                  ,                                                  ,              ,              ,CUS,CASS       ,USD,ENG,0,0,   ,1102-1231-0670,              , 
1100040056,C,ALEX NICHOLS AGENCY INC.                          ,              ,B,1100040056,         ,15-oct-99, ,              ,              ,              ,                                                  ,7330 NW 12TH STR STE 108                          ,33126,US,MIAMI               ,FL   ,                         ,TARIFAS MIA DFW IAH    ,              ,                                                  ,                                                  ,              ,              ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-0670,              , 
1100070016,C,CLARE FREIGHT INTL. (USA) INC.                    ,              , ,1100070016,         ,07 AUG 2003, ,              ,              ,              ,                                                  ,145-30 157TH ST. GRND FLR                         ,11434,US,JAMAICA             ,NY   ,                         ,                       ,718-990-8832  ,                                                  ,                                                  ,              ,D/16267 17782 ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-4011,              , 
1100070020,C,CLARE FREIGHT INTL. (USA) INC.                    ,              , ,1100070020,         ,29 DEC 1999, ,              ,              ,              ,                                                  ,1414 CALCON HOOK ROAD SUITE 204                   ,19079,US,SHARON HILL         ,PA   ,                         ,                       ,610 532 6577  ,                                                  ,                                                  ,              ,D/16267 17782 ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-4011,              , 
1100070031,C,CLARE FREIGHT INTL. (USA) INC.                    ,              , ,1100070031,         ,29-may-02, ,              ,              ,              ,                                                  ,751 PORT AMERICA PLACE SUITE 830                  ,76051,US,GRAPEVINE           ,TX   ,                         ,                       ,817 410 8923  ,                                                  ,                                                  ,              ,D/16267 17782 ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-4011,              , 
1100070042,C,CLARE FREIGHT INTL. (USA) INC.                    ,              , ,1100070042,         ,26 DEC 2001, ,              ,              ,              ,                                                  ,5567 NW 72 AVE.                                   ,33166,US,MIAMI               ,FL   ,                         ,                       ,305-691-8855  ,                                                  ,                                                  ,              ,D/16267 17782 ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-4011,              , 
1100070053,C,CLARE FREIGHT INTL (USA) INC                      ,              , ,1100070053,         ,18 JAN 2006, ,              ,              ,              ,                                                  ,1039 WEST HILLCREST BLVD STE A                    ,90301,US,INGLEWOOD           ,CA   ,                         ,                       ,310-568-2168  ,                                                  ,                                                  ,              ,D/16267 17782 ,CUS,CASS       ,USD,ENG,0,0,30,1102-1231-4011,              , 
1100080015,C,CRANE WORLDWIDE LOGISTICS LLC                     ,              , ,1100080015,         ,28-nov-96, ,              ,              ,              ,                                                  ,1500 RANKIN RD                                    ,77073,US,HOUSTON             ,TX   ,                         ,                       ,281-443-2777  ,                                                  ,                                                  ,              ,D/16332 17868 ,CUS,CASS       ,USD,ENG,0,0,30,1102-1231-1362,              , 
1100080026,C,CRANE WORLDWIDE LOGISTICS LLC                     ,              ,B,1100080026,         ,28-nov-96, ,              ,              ,              ,                                                  ,16710 S CONDUIT AVE                               ,11434,US,JAMAICA             ,NY   ,MR.RAY CHURCH            ,                       ,718-995-21-46 ,                                                  ,                                                  ,              ,D/16332 17868 ,CUS,CASS       ,USD,ENG,0,0,30,1102-1231-1362,              , 
1100080030,C,CRANE WORLDWIDE LOGISTICS LLC                     ,              , ,1100080030,         ,28-nov-96, ,              ,              ,              ,                                                  ,110 W. OCEAN BLVD                                 ,90802,US,LONG BEACH          ,CA   ,MR.HECTOR RUIZ           ,                       ,310-491-00-16 ,                                                  ,                                                  ,              ,D/16332 17868 ,CUS,CASS       ,USD,ENG,0,0,30,1102-1231-1362,              , 
1100080041,C,CRANE WORLDWIDE LOGISTICS LLC                     ,              , ,1100080041,         ,08-sep-09,N,              ,              ,              ,                                                  ,11014 N.W. 33RD ST STE.100                        ,33172,US,DORAL               ,FL   ,                         ,                       ,305-392-4780  ,                                                  ,                                                  ,              ,D/16332 17868 ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-1362,              , 
1100080052,C,CRANE WORLDWIDE LOGISTICS LLC                     ,              , ,1100080052,         ,23-sep-10, ,              ,              ,              ,                                                  ,150 EASTERN AVE.                                  ,2150,US,CHELSEA             ,MA   ,                         ,                       ,              ,                                                  ,                                                  ,              ,D/16332 17868 ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-1362,              , 
1100080085,C,CRANE WORLDWIDE LOGISTICS LLC                     ,              , ,1100080085,         ,12-jul-11,N,              ,              ,              ,                                                  ,5343 W. IMPERIAL HWY STE. 850                     ,90045,US,LOS ANGELES         ,CA   ,                         ,                       ,310-765-2306  ,                                                  ,                                                  ,              ,D/16332 17868 ,CUS,CASS       ,USD,   ,0,0,30,1102-1231-1362,              , 
1100080096,C,CRANE WORLDWIDE LOGISTICS LLC                     ,              , ,1100080096,         ,25-jun-10, ,              ,              ,              ,                                                  ,1961 BROWNSTONE CIR DR. SUITE 600                 ,48183,US,BROWNSTOWN          ,MI   ,                         ,Curtis Crane           ,(734) 692-5679,                                                  ,                                                  ,              ,D/16332 17868 ,CUS,CASS       ,USD,ENG,0,0,30,1102-1231-1362,              , 
